run_id,timestamp,task_id,task_name,architecture,model,success,iterations,messages,estimated_cost,input_tokens,output_tokens,total_tokens,elapsed_seconds,final_code_path,error_message
4849d670e90d,2026-05-19T15:05:10.877523+00:00,t01,normalize_email,single_agent,GigaChat-2-Max,True,1,1,1.0,185,134,319,6.4052,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\4849d670e90d_single_agent_t01_iter1.py,
e4391925c359,2026-05-19T15:05:16.230039+00:00,t02,parse_csv_line,single_agent,GigaChat-2-Max,False,1,1,1.0,189,183,372,5.3524,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\e4391925c359_single_agent_t02_iter1.py,"File ""C:\Users\A4F7~1\AppData\Local\Temp\tmp1t02ulwy\candidate_test.py"", line 33, in <module> | assert parse_csv_line(""a,,c,"") == [""a"", """", ""c"", """"] | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError"
86732899c3bb,2026-05-19T15:05:24.209149+00:00,t03,merge_intervals,single_agent,GigaChat-2-Max,True,1,1,1.0,152,180,332,7.9789,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\86732899c3bb_single_agent_t03_iter1.py,
8a5e6644f27a,2026-05-19T15:05:29.266650+00:00,t04,calculate_cart_total,single_agent,GigaChat-2-Max,False,1,1,1.0,266,202,468,5.0574,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\8a5e6644f27a_single_agent_t04_iter1.py,"File ""C:\Users\A4F7~1\AppData\Local\Temp\tmpkyz66il5\candidate_test.py"", line 2, in <genexpr> | if any(item['price'] < 0 or item['quantity'] <= 0 for item in items): | ~~~~^^^^^^^^^^^^ | KeyError: 'quantity'"
155b8bdda467,2026-05-19T15:05:31.431937+00:00,t05,top_k_frequent,single_agent,GigaChat-2-Max,False,1,1,1.0,154,78,232,2.1652,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\155b8bdda467_single_agent_t05_iter1.py,"File ""C:\Users\A4F7~1\AppData\Local\Temp\tmp1k1a6wkd\candidate_test.py"", line 3, in <module> | assert top_k_frequent([], 3) == [] | ^^^^^^^^^^^^^^ | NameError: name 'top_k_frequent' is not defined"
3555611b0867,2026-05-19T15:05:34.777307+00:00,t06,detect_cycle,single_agent,GigaChat-2-Max,True,1,1,1.0,189,138,327,3.3452,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\3555611b0867_single_agent_t06_iter1.py,
59a15f2b28bf,2026-05-19T15:05:41.064103+00:00,t07,analyze_logs,single_agent,GigaChat-2-Max,False,1,1,1.0,240,263,503,6.2866,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\59a15f2b28bf_single_agent_t07_iter1.py,"File ""C:\Users\A4F7~1\AppData\Local\Temp\tmpglu0phoo\candidate_test.py"", line 50, in <module> | assert analyze_logs(lines) == {""total"": 3, ""by_level"": {""INFO"": 1, ""ERROR"": 1, ""WARNING"": 1}, ""errors"": 1, ""most_common_endpoint"": ""/api/users""} | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError"
2ae98c89b8d6,2026-05-19T15:05:44.411463+00:00,t08,group_by_category,single_agent,GigaChat-2-Max,True,1,1,1.0,202,53,255,3.3472,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\2ae98c89b8d6_single_agent_t08_iter1.py,
26d012a2f8bf,2026-05-19T15:05:54.818068+00:00,t09,resolve_build_order,single_agent,GigaChat-2-Max,True,1,1,1.0,163,266,429,10.4065,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\26d012a2f8bf_single_agent_t09_iter1.py,
6b74b7fac879,2026-05-19T15:06:24.992629+00:00,t01,normalize_email,chain,GigaChat-2-Max,True,1,4,4.0,1297,548,1845,30.1744,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\6b74b7fac879_chain_t01_iter1.py,
